experiment_name,missions_total,missions_completed,collisions_avoided,missed_collisions,total_dv,fuel_used_total,avg_response_time,avg_dv_per_mission,success_rate
f6 OOS - 24 Sats - R=1km,24,21,21,0,21.04999796034005,21.04999796034005,1660.8,0.12309940327684236,0.8620689655172413
f6 OOS - 24 Sats - R=3km,24,20,20,0,21.04999796034005,21.04999796034005,1660.8,0.12309940327684236,0.8333333333333334
f6 OOS - 24 Sats - R=10km,24,17,17,0,43.06113577333856,43.06113577333856,1805.0,0.09027491776381247,0.7058823529411765
f6 OOS - 24 Sats - R=30km,24,17,17,0,52.31128468798504,52.31128468798504,1805.0,0.10462256937597003,0.7058823529411765
f6 OOS - 24 Sats - R=100km,24,17,17,0,34.67909363858659,34.67909363858659,1805.0,0.07828237841667401,0.7058823529411765
