experiment_name,missions_total,missions_completed,collisions_avoided,missed_collisions,total_dv,fuel_used_total,avg_response_time,avg_dv_per_mission,success_rate
Single OOS - Single Orbit - 3 Sats,3,2,1,0,414.26047076444644,414.26047076444644,2940.0,138.0868235881488,0.6666666666666666
Single OOS - Single Orbit - 3 Sats,3,2,1,0,414.26047076444644,414.26047076444644,2940.0,138.0868235881488,0.6666666666666666
Single OOS - Single Orbit - 3 Sats,3,2,0,0,11.187318299989057,11.187318299989057,2640.0,5.5936591499945285,0.6666666666666666
Single OOS - Single Orbit - 3 Sats,3,2,0,0,11.187318299989057,11.187318299989057,2640.0,5.5936591499945285,0.6666666666666666
Single OOS - Single Orbit - 3 Sats,3,1,0,0,11.187318299989057,11.187318299989057,720.0,5.5936591499945285,0.3333333333333333
