experiment_name,missions_total,missions_completed,collisions_avoided,missed_collisions,total_dv,fuel_used_total,avg_response_time,avg_dv_per_mission,success_rate

2 OOS - 3 Sats,3,3,3,0,0.2908646470301995,0.2908646470301995,680.0,0.09695488234339983,1.0
2 OOS - 4 Sats,5,4,4,0,6.821226559274863,6.821226559274863,3420.0,0.07414376694864007,0.8
2 OOS - 8 Sats,5,4,4,0,7.676152324435353,7.676152324435353,3450.0,0.08253927230575674,0.8
2 OOS - 12 Sats,8,4,2,0,17.814074739013936,17.814074739013936,3720.0,0.08442689449769673,0.5
3 OOS - 12 Sats,14,9,8,0,287.5824963564904,287.5824963564904,1213.3333333333333,1.3438434409181819,0.6428571428571429
4 OOS - 12 Sats,13,9,8,0,15.991747955194054,15.991747955194054,1213.3333333333333,0.11934140265070217,0.6923076923076923
