experiment_name,missions_total,missions_completed,collisions_avoided,missed_collisions,total_dv,fuel_used_total,avg_response_time,avg_dv_per_mission,success_rate
1 OOS - 1 Sat,1,1,0,0,0.000599328261670809,0.000599328261670809,720.0,0.000599328261670809,1.0
1 OOS - 2 Sats,2,2,1,0,11.18476812089533,11.18476812089533,2760.0,5.592384060447665,1.0
1 OOS - 3 Sats,3,3,1,0,295.4341943617955,295.4341943617955,2600.0,98.47806478726517,1.0
1 OOS - 4 Sats,4,2,1,0,193.64633452374517,193.64633452374517,4620.0,96.82316726187258,0.5
