experiment_name,missions_total,missions_completed,collisions_avoided,missed_collisions,total_dv,fuel_used_total,avg_response_time,avg_dv_per_mission,success_rate
1 OOS - 1 Sat,1,1,1,0,1.6254168424146195e-06,1.6254168424146195e-06,720.0,1.6254168424146195e-06,1.0
1 OOS - 2 Sats,2,2,2,0,2.38769458380915,2.38769458380915,3180.0,0.47753891676183,1.0
1 OOS - 3 Sats,3,2,2,0,2.3877086807131915,2.3877086807131915,3180.0,0.4775417361426383,0.6666666666666666
1 OOS - 4 Sats,3,0,0,0,11.191941306666301,11.191941306666301,0,0.6583494886274295,0.0
